sep=;
DATA PERBANDINGAN MENTAH - E1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;243,9375;245,58333333;-11,34224818;-11,34237939
Steady State End;550,0;550,0;-11,34324585;-11,34337561
10% Steady State;56,20833333;56,16666667;-1,13810785;-1,13493906
90% Steady State;95,75;95,83333333;-10,21018143;-10,20950188
ATTACK TIME (sw);39,54166667;39,66666667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,3432445;-11,34337119
Steady State Start;871,97916667;902,16666667;-0,02499616;-0,02495792
Steady State End;1250,0;1250,0;-6,17e-06;-0,02395633
10% Recovery;587,89583333;588,1875;-10,20824328;-10,20902245
90% Recovery;701,22916667;702,14583333;-1,13412904;-1,13383353
Release TIME (sw);113,33333333;113,95833333;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,31612223;;;
Release Time Error (%);0,55147059;;;
SS Gain Error (dB);0,00013121;;;
MAE (dB);0,01465794;;;
RMSE (dB);0,01914268;;;
R2 Score;0,99998707;;;
